Aunt,Brother,Cousin,Daughter,Father,Granddaughter,Grandfather,Grandmother,Grandson,Mother,Nephew,Niece,Sister,Son,Uncle,exx,exy,exz,grp
0,79,53,59,73,57,77,55,79,51,56,32,58,80,27,2,3,-1,1
79,0,67,62,38,75,57,80,51,63,53,76,28,38,57,1,2,0,2
53,67,0,74,77,74,76,78,72,79,51,53,70,73,51,1,4,0,1
59,62,74,0,57,46,77,54,72,31,74,52,37,29,80,2,1,1,1
73,38,77,57,0,79,51,70,54,29,59,81,63,32,51,1,1,-1,1
57,75,74,46,79,0,57,32,29,56,74,51,50,72,80,2,2,2,2
77,57,76,77,51,57,0,29,31,75,58,79,79,55,55,1,2,-2,1
55,80,78,54,70,32,29,0,57,50,79,58,57,78,77,2,2,-2,2
79,51,72,72,54,29,31,57,0,79,51,74,75,47,58,1,2,2,2
51,63,79,31,29,56,75,50,79,0,81,60,39,57,73,2,1,-1,1
56,53,51,74,59,74,58,79,51,81,0,27,76,52,33,1,3,1,2
32,76,53,52,81,51,79,58,74,60,27,0,53,74,56,2,3,1,1
58,28,70,37,63,50,79,57,75,39,76,53,0,62,79,2,2,0,2
80,38,73,29,32,72,55,78,47,57,52,74,62,0,59,1,1,1,2
27,57,51,80,51,80,55,77,58,73,33,56,79,59,0,1,3,-1,1
