row.name,subject,government,freedom,values,responsibility,country,personal,conservative,life,party,strong,limited,america,free,individual,liberty,right,small,family,taxes,nation,people,american,god,principles,work,defense,great,constitution,fiscal,market,national,founding,hard,military,will,best,low,exx,exy ,exz,grp,rexx,rexy,rgrp,rexz
q,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,4,g,1,4,g,4
,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,7,k,5,7,k,7
,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,9,l,8,9,l,9
,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66666667,31.66666667,31.66666667,g,11.66666667,31.66666667,g,31.66666667
,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,15.16666667,34.16666667,34.16666667,k,15.16666667,34.16666667,k,34.16666667
,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.66666667,36.66666667,36.66666667,l,18.66666667,36.66666667,l,36.66666667
,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22.16666667,39.16666667,39.16666667,g,22.16666667,39.16666667,g,39.16666667
,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.66666667,41.66666667,41.66666667,k,25.66666667,41.66666667,k,41.66666667
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,44.16666667,44.16666667,l,29.16666667,44.16666667,l,44.16666667
,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32.66666667,11.66666667,11.66666667,g,32.66666667,11.66666667,g,11.66666667
,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,36.16666667,14.16666667,14.16666667,k,36.16666667,14.16666667,k,14.16666667
,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39.66666667,16.66666667,16.66666667,l,39.66666667,16.66666667,l,16.66666667
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.16666667,19.16666667,19.16666667,g,43.16666667,19.16666667,g,19.16666667
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.66666667,21.66666667,21.66666667,k,46.66666667,21.66666667,k,21.66666667
,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.16666667,24.16666667,24.16666667,l,50.16666667,24.16666667,l,24.16666667
,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,53.66666667,26.66666667,26.66666667,g,53.66666667,26.66666667,g,26.66666667
,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.66666667,29.16666667,29.16666667,k,53.66666667,29.16666667,k,29.16666667
,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.16666667,11.66666667,11.66666667,k,,,,11.66666667
,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.61666667,15.16666667,15.16666667,k,,,,15.16666667
,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.61666667,15.16666667,15.16666667,k,,,,15.16666667
,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.36666667,7.66666667,7.66666667,g,,,,7.66666667
,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,63.50166667,2.46666667,2.46666667,k,,,,2.46666667
,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65.63666667,-2.73333333,-2.73333333,k,,,,-2.73333333
,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.77166667,-7.93333333,-7.93333333,k,,,,-7.93333333
,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,67.77166667,-7.93333333,-7.93333333,k,,,,-7.93333333
