row.name,subject,Mois,Manag,Use,Manure,AB,BCUR,NNYY,DDY,EEY,FFY,exx,exy ,exz,grp,rexx,rexy,rexz,rgrp
A,1,M1,SF,U2,C4,AX1,AX1,U2,C3,C3,C3,1,4,1,g,1,4,1,g
,1,M1,BF,U2,C2,AX2,AX2,U2,C1,C1,C1,5,7,2,k,5,7,,k
,1,M2,SF,U2,C4,AX3,AX3,U2,C1,C1,C1,8,9,3,l,8,9,,l
,1,M2,SF,U2,C4,AX4,AX4,U2,C1,C1,C1,11.66666667,31.66666667,4,g,11.66666667,31.66666667,,g
,1,M1,HF,U1,C2,BX1,BX1,U1,C2,C2,C2,15.16666667,34.16666667,5,k,15.16666667,34.16666667,,k
,1,M1,HF,U2,C2,BX2,BX2,U2,C3,C3,C3,18.66666667,36.66666667,6,l,18.66666667,36.66666667,,l
,1,M1,HF,U3,C3,BX3,BX3,U3,C0,C0,C0,22.16666667,39.16666667,7,g,22.16666667,39.16666667,,g
,1,M5,HF,U3,C3,BX4,BX4,C3,C0,C0,C0,25.66666667,41.66666667,8,k,25.66666667,41.66666667,,k
,1,M4,HF,U1,C1,BX5,BX5,C0,U1,U1,U1,29.16666667,44.16666667,9,l,29.16666667,44.16666667,,l
,1,M2,BF,U1,C1,AX1,AX1,C0,U3,U3,U3,32.66666667,11.66666667,10,g,32.66666667,11.66666667,,g
,1,M1,BF,U3,C1,AX2,AX2,C0,U2,U2,U2,,,,,36.16666667,14.16666667,,k
,1,M4,SF,U2,C2,AX3,AX3,C0,U2,U2,U2,,,,,39.66666667,16.66666667,,l
,1,M5,SF,U2,C3,AX4,AX4,U1,U3,U3,U3,,,,,43.16666667,19.16666667,,g
,1,M5,NM,U3,C0,AX5,AX5,U3,C0,C0,C0,,,,,46.66666667,21.66666667,,k
,1,M5,NM,U2,C0,AX6,AX6,U2,C3,C3,C3,,,,,50.16666667,24.16666667,,l
,1,M5,SF,U3,C3,BX1,BX1,U2,C0,C0,C0,,,,,53.66666667,26.66666667,,g
,1,M2,NM,U1,C0,BX2,BX2,U3,C0,C0,C0,,,,,53.66666667,29.16666667,,k
,1,M1,NM,U1,C0,BX3,BX3,U1,C0,C0,C0,,,,,,,,
,1,M5,NM,U1,C0,BX4,BX4,U1,C1,C1,C1,,,,,,,,
,1,M5,NM,U1,C0,BX5,BX5,C0,BX5,BX5,BX5,,,,,,,,
,2,M1,SF,U2,C4,AX1,AX1,U2,C3,C3,C3,,,,,,,,
,2,M1,BF,U2,C2,AX2,AX2,U2,C1,C1,C1,,,,,,,,
,2,M2,SF,U2,C4,AX3,AX3,U2,C1,C1,C1,,,,,,,,
,2,M2,SF,U2,C4,AX4,AX4,U2,C1,C1,C1,,,,,,,,
,2,M1,HF,U1,C2,BX1,BX1,U1,C2,C2,C2,,,,,,,,
,2,M1,HF,U2,C2,BX2,BX2,U2,C3,C3,C3,,,,,,,,
,2,M1,HF,U3,C3,BX3,BX3,U3,C0,C0,C0,,,,,,,,
,2,M5,HF,U3,C3,BX4,BX4,C3,C0,C0,C0,,,,,,,,
,2,M4,HF,U1,C1,BX5,BX5,C0,U1,U1,U1,,,,,,,,
,2,M2,BF,U1,C1,AX1,AX1,C0,U3,U3,U3,,,,,,,,
,2,M1,BF,U3,C1,AX2,AX2,C0,U2,U2,U2,,,,,,,,
,2,M4,SF,U2,C2,AX3,AX3,C0,U2,U2,U2,,,,,,,,
,2,M5,SF,U2,C3,AX4,AX4,U1,U3,U3,U3,,,,,,,,
,2,M5,NM,U3,C0,AX5,AX5,U3,C0,C0,C0,,,,,,,,
,2,M5,NM,U2,C0,AX6,AX6,U2,C3,C3,C3,,,,,,,,
,2,M5,SF,U3,C3,BX1,BX1,U2,C0,C0,C0,,,,,,,,
,2,M2,NM,U1,C0,BX2,BX2,U3,C0,C0,C0,,,,,,,,
,2,M1,NM,U1,C0,BX3,BX3,U1,C0,C0,C0,,,,,,,,
,2,M5,NM,U1,C0,BX4,BX4,U1,C1,C1,C1,,,,,,,,
,2,M5,NM,U1,C0,BX5,BX5,C0,BX5,BX5,BX5,,,,,,,,
