row.name,subject,AI playing games,Apple smartphone,Art&literature,Baidu-Alibaba,Challenges to humanity,China R&D,Consumer services,Culture industry,Data governance,Driverless cars,Emulating human mind,Expert systems,"Facial recognition, security",FB-bots,Innovation,Google deepmind,Health,Humanoid robots,Markets & investments,MS investment,Threats to humanity,Universities,US-R&D,War technologies,Work automation,exx,exy,exz,grp,rexx,rexy,rexz,rgrp
a,UK,0.017973856,0.235294118,0.01879085,0.024509804,0.01879085,0.019607843,0.035130719,0.01879085,0.04003268,0.026960784,0.033496732,0.020424837,0.033496732,0.107026144,0.028594771,0.045751634,0.019607843,0.04003268,0.029411765,0.081699346,0.029411765,0.016339869,0.026143791,0.015522876,0.017156863,19,7,25,cu,1,6,1,hu
b,UK,0.014119091,0.017802333,0.050951504,0.019643953,0.047882136,0.013505218,0.022099448,0.020257827,0.225905463,0.025168815,0.044812769,0.036218539,0.014732965,0.022099448,0.040515654,0.066298343,0.017188459,0.023327195,0.027624309,0.045426642,0.066912216,0.015960712,0.023327195,0.041743401,0.056476366,6,1,14,in,9,5.5,2,co
c,UK,0.032163743,0.051900585,0.01754386,0.018274854,0.035818713,0.022660819,0.022660819,0.015350877,0.065789474,0.035818713,0.040204678,0.042397661,0.028508772,0.016812865,0.021929825,0.190789474,0.025584795,0.040935673,0.024122807,0.024853801,0.035818713,0.031432749,0.031432749,0.043128655,0.084064327,25,13,10,cu,7,5,3,cu
d,UK,0.024968789,0.02372035,0.039950062,0.02247191,0.041198502,0.028714107,0.032459426,0.041198502,0.053682896,0.02247191,0.079900125,0.04619226,0.027465668,0.027465668,0.076154806,0.036204744,0.028714107,0.028714107,0.02372035,0.024968789,0.079900125,0.09113608,0.034956305,0.038701623,0.024968789,4,3,2,ec,7,4.5,4,ma
e,UK,0.032748538,0.015789474,0.024561404,0.011695906,0.105263158,0.01754386,0.056140351,0.028070175,0.084795322,0.01754386,0.165497076,0.06374269,0.011111111,0.040350877,0.025146199,0.064327485,0.065497076,0.014035088,0.013450292,0.018128655,0.033333333,0.02748538,0.02748538,0.016374269,0.019883041,18,23,21,cu,6.5,4,5,hu
f,UK,0.042194093,0.11673699,0.028129395,0.030942335,0.026722925,0.028129395,0.033755274,0.091420534,0.026722925,0.035161744,0.046413502,0.033755274,0.036568214,0.033755274,0.028129395,0.082981716,0.029535865,0.029535865,0.029535865,0.028129395,0.029535865,0.047819972,0.026722925,0.029535865,0.028129395,8,8,4,rd,6,3.5,6,rd
g,UK,0.014788169,0.013189448,0.092725819,0.010791367,0.017985612,0.013189448,0.008792966,0.013988809,0.019584333,0.01598721,0.118305356,0.114308553,0.020783373,0.018385292,0.023980815,0.04756195,0.016786571,0.044364508,0.007993605,0.013589129,0.016786571,0.290167866,0.022382094,0.011191047,0.012390088,12,12,20,ex,5.5,3,7,co
h,UK,0.022357724,0.056233062,0.013550136,0.032520325,0.040650407,0.016260163,0.189701897,0.01897019,0.029810298,0.069105691,0.01897019,0.027100271,0.039295393,0.021680217,0.012872629,0.069783198,0.02100271,0.02303523,0.103658537,0.023712737,0.01897019,0.046070461,0.01897019,0.041327913,0.024390244,15,11,24,cu,5,2.5,8,th
i,UK,0.014005602,0.009803922,0.036414566,0.017273576,0.028011204,0.015406162,0.039215686,0.029411765,0.242763772,0.014939309,0.027544351,0.023809524,0.025210084,0.014939309,0.011204482,0.086834734,0.01774043,0.046218487,0.067226891,0.021008403,0.028011204,0.032679739,0.035947712,0.037348273,0.077030812,17,15,5,rd,4.5,2,9,hu
j,UK,0.08747927,0.014925373,0.063018242,0.009121061,0.043117745,0.008291874,0.032752902,0.162106136,0.03358209,0.014925373,0.036484245,0.027777778,0.00787728,0.009950249,0.059701493,0.058043118,0.014510779,0.041873964,0.008291874,0.012023217,0.174543947,0.026119403,0.010364842,0.019900498,0.023217247,11,16,6,ec,4,1.5,10,co
